kind,id,name,pattern,category
applied,nihari,Nihari,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,nihari,Nihari,\b(lemon|lemon[- ]?juice|lemon[- ]?zest|lime|orange peel|orange juice)\b,Citrus
applied,oatmeal-berries,Oatmeal with berries,\b(creamy|cream sauce|cream-based|in cream|with cream\b)\b,Cream & butter
applied,osso-buco,Osso buco,\b(crusty bread|baguette|focaccia|naan|pita|tortilla|toast points?|served with bread|on toast|sandwich|wrap)\b,Bread & rolls
applied,pakistani-biryani-mutton,Pakistani mutton biryani,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,pakistani-biryani-mutton,Pakistani mutton biryani,\b(curry|masala|garam masala|curry powder|chili powder|cayenne|paprika|cumin|coriander|turmeric)\b,Ground spices
applied,papa-huancaina,Papa a la huancaína,\b(creamy|cream sauce|cream-based|in cream|with cream\b)\b,Cream & butter
applied,patatas-bravas,Patatas bravas,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,patatas-bravas,Patatas bravas,\b(garlic|garlicky)\b,Other vegetables
applied,pb-sandwich,Peanut butter sandwich,\b(creamy|cream sauce|cream-based|in cream|with cream\b)\b,Cream & butter
applied,pho-bo,Pho bo,\b(lemon|lemon[- ]?juice|lemon[- ]?zest|lime|orange peel|orange juice)\b,Citrus
applied,pho-ga,Pho ga,\b(lemon|lemon[- ]?juice|lemon[- ]?zest|lime|orange peel|orange juice)\b,Citrus
applied,pierogi-potato-cheese,Pierogi (potato-cheese),\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,pozole-rojo,Pozole rojo,\b(lemon|lemon[- ]?juice|lemon[- ]?zest|lime|orange peel|orange juice)\b,Citrus
applied,red-curry-chicken,Red curry chicken,\b(creamy|cream sauce|cream-based|in cream|with cream\b)\b,Cream & butter
applied,red-curry-chicken,Red curry chicken,\b(lemon|lemon[- ]?juice|lemon[- ]?zest|lime|orange peel|orange juice)\b,Citrus
applied,red-curry-chicken,Red curry chicken,\b(curry|masala|garam masala|curry powder|chili powder|cayenne|paprika|cumin|coriander|turmeric)\b,Ground spices
applied,nicoise-salad,Salade niçoise,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,salmon-plate,Salmon plate,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,salt-pepper-shrimp,Salt-and-pepper shrimp,\b(garlic|garlicky)\b,Other vegetables
applied,samosa-chaat,Samosa chaat,\b(curry|masala|garam masala|curry powder|chili powder|cayenne|paprika|cumin|coriander|turmeric)\b,Ground spices
applied,satay-plate,Satay plate,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,satay-plate,Satay plate,\b(lemon|lemon[- ]?juice|lemon[- ]?zest|lime|orange peel|orange juice)\b,Citrus
applied,sichuan-hot-pot,Sichuan hot pot,\b(pasta|spaghetti|noodles?|fettuccine|penne|rigatoni|linguine|lasagn[ae])\b,Refined grains
applied,som-tam,Som tam (green papaya salad),\b(lemon|lemon[- ]?juice|lemon[- ]?zest|lime|orange peel|orange juice)\b,Citrus
applied,souvlaki-plate,Souvlaki plate,\b(lemon|lemon[- ]?juice|lemon[- ]?zest|lime|orange peel|orange juice)\b,Citrus
applied,summer-rolls,Summer rolls,\b(soy sauce|tamari|fish sauce|oyster sauce|hoisin)\b,Sauces
applied,sundubu-jjigae,Sundubu jjigae,\b(olive oil|sesame oil|coconut oil|vegetable oil|peanut oil|canola oil|chili oil|truffle oil|drizzle of oil|drizzled with oil|splash of oil)\b,Oils
applied,suya-skewers,Suya skewers,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,sweet-and-sour-pork,Sweet-and-sour pork,\b(deep[- ]?fry|deep[- ]?fried|tempura|battered)\b,Oils
applied,sweet-and-sour-pork,Sweet-and-sour pork,\b(deep[- ]?fry|deep[- ]?fried|tempura|battered)\b,Flours
applied,tacos-carnitas,Tacos carnitas,\b(lemon|lemon[- ]?juice|lemon[- ]?zest|lime|orange peel|orange juice)\b,Citrus
applied,tempura-platter,Tempura platter,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,thieboudienne,Thieboudienne,\b(lemon|lemon[- ]?juice|lemon[- ]?zest|lime|orange peel|orange juice)\b,Citrus
applied,tonkatsu-plate,Tonkatsu plate,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,tuna-salad,Tuna salad,\b(lemon|lemon[- ]?juice|lemon[- ]?zest|lime|orange peel|orange juice)\b,Citrus
applied,twice-cooked-pork,Twice-cooked pork,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,udon-noodles,Udon noodles,\b(deep[- ]?fry|deep[- ]?fried|tempura|battered)\b,Oils
applied,udon-noodles,Udon noodles,\b(deep[- ]?fry|deep[- ]?fried|tempura|battered)\b,Flours
applied,vatapa,Vatapa,\b(creamy|cream sauce|cream-based|in cream|with cream\b)\b,Cream & butter
applied,vegan-bowl,Vegan grain bowl,\b(roasted?|grill(ed)?|seared)\b,Oils
applied,omelet-veg-cheese,Vegetable & cheese omelet,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
applied,waakye,Waakye,\b(stir[- ]?fr(y|ied|ies)|pan[- ]?fr(y|ied|ies)|fry|fried|saut[eé]ed?)\b,Oils
review,antipasto-platter,Antipasto platter,\b(salty|brined|cured)\b,Salt & seasonings
review,arepas,Arepas,\b(beans|lentils|chickpeas)\b,Legumes
review,ash-reshteh,Ash reshteh,\b(onion(s)?|shallots?)\b,Other vegetables
review,bacalhau-com-natas,Bacalhau com natas,\b(onion(s)?|shallots?)\b,Other vegetables
review,bangers-and-mash,Bangers and mash,\b(onion(s)?|shallots?)\b,Other vegetables
review,rendang,Beef rendang,\b(milk)\b,Milk
review,shawarma-beef,Beef shawarma,\b(onion(s)?|shallots?)\b,Other vegetables
review,cassoulet,Cassoulet,\b(beans|lentils|chickpeas)\b,Legumes
review,charcuterie-board,Charcuterie board,\b(salty|brined|cured)\b,Salt & seasonings
review,borek-cheese,Cheese börek,\b(salty|brined|cured)\b,Salt & seasonings
review,cheeseburger,Cheeseburger,\b(tomato(es)?)\b,Peppers & nightshades
review,shawarma-chicken,Chicken shawarma,\b(tomato(es)?)\b,Peppers & nightshades
review,chips-and-guacamole,Chips & guacamole,\b(onion(s)?|shallots?)\b,Other vegetables
review,continental-breakfast,Continental breakfast,\b(yogurt|yoghurt)\b,Yogurt
review,currywurst,Currywurst,\b(tomato(es)?)\b,Peppers & nightshades
review,feijoada,Feijoada,\b(beans|lentils|chickpeas)\b,Legumes
review,gallo-pinto,Gallo pinto,\b(onion(s)?|shallots?)\b,Other vegetables
review,gravlax-plate,Gravlax plate,\b(salty|brined|cured)\b,Salt & seasonings
review,gravlax-plate,Gravlax plate,\b(onion(s)?|shallots?)\b,Other vegetables
review,gravlax-plate,Gravlax plate,\b(sugar|caramelized|caramelised)\b,Sugar & sweeteners
review,huevos-rancheros,Huevos rancheros,\b(beans|lentils|chickpeas)\b,Legumes
review,kabab-koobideh,Kabab koobideh,\b(tomato(es)?)\b,Peppers & nightshades
review,kafta-kebab,Kafta kebab,\b(onion(s)?|shallots?)\b,Other vegetables
review,donburi-katsudon,Katsudon,\b(onion(s)?|shallots?)\b,Other vegetables
review,khao-soi,Khao soi,\b(onion(s)?|shallots?)\b,Other vegetables
review,lahmacun,Lahmacun,\b(onion(s)?|shallots?)\b,Other vegetables
review,lomo-saltado,Lomo saltado,\b(onion(s)?|shallots?)\b,Other vegetables
review,mee-goreng,Mee goreng,\b(tomato(es)?)\b,Peppers & nightshades
review,moqueca,Moqueca,\b(milk)\b,Milk
review,muesli-bowl,Muesli bowl,\b(yogurt|yoghurt)\b,Yogurt
review,nihari,Nihari,\b(onion(s)?|shallots?)\b,Other vegetables
review,oatmeal-berries,Oatmeal with berries,\b(sugar|caramelized|caramelised)\b,Sugar & sweeteners
review,pakistani-biryani-mutton,Pakistani mutton biryani,\b(onion(s)?|shallots?)\b,Other vegetables
review,paneer-tikka,Paneer tikka,\b(yogurt|yoghurt)\b,Yogurt
review,paneer-tikka,Paneer tikka,\b(onion(s)?|shallots?)\b,Other vegetables
review,pap-chakalaka,Pap and chakalaka,\b(beans|lentils|chickpeas)\b,Legumes
review,ceviche-peruvian,Peruvian ceviche,\b(salty|brined|cured)\b,Salt & seasonings
review,pesto-pasta,Pesto pasta,\b(beans|lentils|chickpeas)\b,Legumes
review,pickled-herring-plate,Pickled herring plate,\b(onion(s)?|shallots?)\b,Other vegetables
review,pierogi-potato-cheese,Pierogi (potato-cheese),\b(onion(s)?|shallots?)\b,Other vegetables
review,raclette-platter,Raclette platter,\b(salty|brined|cured)\b,Salt & seasonings
review,rajma,Rajma,\b(onion(s)?|shallots?)\b,Other vegetables
review,nicoise-salad,Salade niçoise,\b(beans|lentils|chickpeas)\b,Legumes
review,sinigang,Sinigang,\b(tomato(es)?)\b,Peppers & nightshades
review,smorgasbord-plate,Smörgåsbord plate,\b(salty|brined|cured)\b,Salt & seasonings
review,som-tam,Som tam (green papaya salad),\b(sugar|caramelized|caramelised)\b,Sugar & sweeteners
review,halwa-semolina,Suji halwa,\b(milk)\b,Milk
review,suya-skewers,Suya skewers,\b(onion(s)?|shallots?)\b,Other vegetables
review,sweet-and-sour-pork,Sweet-and-sour pork,\b(onion(s)?|shallots?)\b,Other vegetables
review,tacos-carnitas,Tacos carnitas,\b(onion(s)?|shallots?)\b,Other vegetables
review,thanksgiving-plate,Thanksgiving plate,\b(beans|lentils|chickpeas)\b,Legumes
review,toad-in-the-hole,Toad in the hole,\b(onion(s)?|shallots?)\b,Other vegetables
review,tom-yum-goong,Tom yum goong,\b(mushrooms?)\b,Mushrooms
review,tortilla-espanola,Tortilla española,\b(onion(s)?|shallots?)\b,Other vegetables
review,trail-mix,Trail mix,\b(salty|brined|cured)\b,Salt & seasonings
review,ugali-sukuma-wiki,Ugali with sukuma wiki,\b(tomato(es)?)\b,Peppers & nightshades
review,ugali-sukuma-wiki,Ugali with sukuma wiki,\b(onion(s)?|shallots?)\b,Other vegetables
review,vatapa,Vatapa,\b(milk)\b,Milk
review,omelet-veg-cheese,Vegetable & cheese omelet,\b(mushrooms?)\b,Mushrooms
review,iskender-kebab,İskender kebab,\b(tomato(es)?)\b,Peppers & nightshades
