### Aged cheese  (36)
    appenzeller                      Appenzeller
    ritz-cracker                     Buttery round cracker (Ritz-style)
    cheese-cracker                   Cheese cracker
    chocolate-chip-cookie            Chocolate chip cookie
    danish                           Danish pastry
    digestive-biscuit                Digestive biscuit
    doritos                          Flavored tortilla chip (Doritos-style)
    ginger-snap                      Gingersnap
    graham-cracker-crumb             Graham cracker crumbs
    graham-cracker-crust             Graham cracker crust
    graham-crackers                  Graham crackers
    hard-pretzel                     Hard pretzel
    melba-toast                      Melba toast
    oatmeal-cookie                   Oatmeal cookie
    peanut-butter-cookie             Peanut butter cookie
    phyllo-dough                     Phyllo dough
    pie-crust                        Pie crust (baked)
    pita-chip                        Pita chip
    puff-pastry                      Puff pastry
    rice-cracker                     Rice cracker
    saltine-crackers                 Saltine crackers
    oreo                             Sandwich cookie (Oreo-style)
    scone                            Scone
    shortbread                       Shortbread
    soda-cracker                     Soda cracker
    soft-pretzel                     Soft pretzel
    sugar-cookie                     Sugar cookie
    tortilla-chip                    Tortilla chip
    vanilla-wafer                    Vanilla wafer
    water-cracker                    Water cracker

### Baking ingredients  (9)
    agar-agar                        Agar agar
    arrowroot-powder                 Arrowroot powder
    baking-powder                    Baking powder
    baking-soda                      Baking soda
    cornstarch                       Cornstarch
    cream-of-tartar                  Cream of tartar
    xanthan-gum                      Xanthan gum
    yeast-active-dry                 Yeast (active dry)
    yeast-instant                    Yeast (instant)

### Berries  (16)
    acai-berry                       Açaí berry
    black-currant                    Black currant
    blackberry                       Blackberry
    blueberry                        Blueberry
    boysenberry                      Boysenberry
    cape-gooseberry                  Cape gooseberry (physalis)
    cranberry                        Cranberry
    elderberry                       Elderberry
    goji-berry                       Goji berry
    gooseberry                       Gooseberry
    huckleberry                      Huckleberry
    mulberry                         Mulberry
    raspberry                        Raspberry
    red-currant                      Red currant
    strawberry                       Strawberry
    white-currant                    White currant

### Bread & rolls  (29)
    banana-bread                     Banana bread
    bread-crumbs                     Bread crumbs
    challah                          Challah
    corn-muffin                      Corn muffin
    cornbread                        Cornbread
    croutons                         Croutons
    dinner-roll                      Dinner roll
    dumpling-wrapper                 Dumpling wrapper
    focaccia                         Focaccia
    french-bread                     French bread
    burger-bun                       Hamburger bun
    hawaiian-roll                    Hawaiian sweet roll
    hoagie-roll                      Hoagie roll
    hot-dog-bun                      Hot dog bun
    kaiser-roll                      Kaiser roll
    lavash                           Lavash
    matzo                            Matzo
    multigrain-bread                 Multigrain bread
    panko                            Panko (Japanese bread crumbs)
    paratha                          Paratha
    pizza-dough                      Pizza dough
    potato-bread                     Potato bread
    pumpernickel-bread               Pumpernickel bread
    roti                             Roti
    spring-roll-wrapper              Spring roll wrapper (rice)
    taco-shell                       Taco shell (hard)
    white-bread                      White bread
    whole-wheat-bread                Whole wheat bread
    wonton-wrapper                   Wonton wrapper

### Candy & desserts  (36)
    amaretti                         Amaretti
    baking-chocolate-unsweetened     Baking chocolate (unsweetened)
    baklava                          Baklava
    licorice-black                   Black licorice
    candy-corn                       Candy corn
    caramel-soft                     Caramel
    gum-chewing                      Chewing gum (sweetened)
    chocolate-bar-milk               Chocolate bar (milk)
    chocolate-chips-dark             Chocolate chips (dark)
    chocolate-chips-milk             Chocolate chips (milk)
    chocolate-truffle                Chocolate truffle
    cocoa-powder                     Cocoa powder
    dark-chocolate                   Dark chocolate
    dragees                          Dragées (silver-coated)
    fudge                            Fudge
    gulab-jamun                      Gulab jamun
    gummy-bear                       Gummy bears
    halva                            Halva
    hard-candy                       Hard candy
    jelly-bean                       Jelly beans
    lollipop                         Lollipop (hard candy)
    marshmallow                      Marshmallow
    marzipan                         Marzipan
    meringue-cookie                  Meringue cookies
    milk-chocolate                   Milk chocolate
    nougat                           Nougat
    brittle-peanut                   Peanut brittle
    peanut-butter-cup                Peanut butter cup
    peppermint-candy                 Peppermint candy
    praline                          Praline (pecan)
    licorice-red                     Red licorice (Twizzlers-style)
    rock-candy                       Rock candy
    toffee                           Toffee
    turkish-delight                  Turkish delight
    white-chocolate                  White chocolate
    white-chocolate-chips            White chocolate chips

### Canned & cured fish  (17)
    anchovy-paste                    Anchovy paste
    canned-anchovies-oil             Canned anchovies (in oil)
    canned-mackerel                  Canned mackerel
    canned-salmon                    Canned salmon
    canned-sardines-oil              Canned sardines (in oil)
    canned-tuna-oil                  Canned tuna (in oil)
    canned-tuna-water                Canned tuna (in water)
    caviar                           Caviar
    ikura                            Ikura (salmon roe)
    masago                           Masago (capelin roe)
    mentaiko                         Mentaiko (pollock roe)
    pickled-herring                  Pickled herring
    salt-cod-bacalao                 Salt cod (bacalao)
    smoked-mackerel                  Smoked mackerel
    smoked-salmon-lox                Smoked salmon (lox)
    smoked-trout                     Smoked trout
    tobiko                           Tobiko (flying-fish roe)

### Citrus  (16)
    blood-orange                     Blood orange
    calamansi                        Calamansi
    clementine                       Clementine
    finger-lime                      Finger lime
    grapefruit                       Grapefruit
    key-lime                         Key lime
    kumquat                          Kumquat
    lemon                            Lemon
    lime                             Lime
    mandarin                         Mandarin orange
    meyer-lemon                      Meyer lemon
    orange                           Orange
    pomelo                           Pomelo
    satsuma                          Satsuma
    tangerine                        Tangerine
    yuzu                             Yuzu

### Coffee & tea  (15)
    tea-black-brewed                 Black tea (brewed)
    cappuccino                       Cappuccino
    chai-concentrate                 Chai concentrate
    coffee-brewed                    Coffee (brewed)
    cold-brew-coffee                 Cold brew coffee
    decaf-coffee                     Decaf coffee (brewed)
    espresso                         Espresso
    green-tea                        Green tea (brewed)
    herbal-tea                       Herbal tea (brewed)
    instant-coffee                   Instant coffee (prepared)
    latte                            Latte
    matcha                           Matcha (powder, prepared)
    mocha-coffee                     Mocha
    oolong-tea                       Oolong tea (brewed)
    white-tea                        White tea (brewed)

### Cream & butter  (16)
    beef-tallow                      Beef tallow
    butter                           Butter
    clotted-cream                    Clotted cream
    creme-fraiche                    Crème fraîche
    duck-fat                         Duck fat
    ghee                             Ghee
    half-and-half                    Half-and-half
    heavy-cream                      Heavy cream
    kajmak                           Kajmak
    light-cream                      Light cream (table cream)
    malai                            Malai (Indian cream)
    niter-kibbeh                     Niter kibbeh
    schmaltz                         Schmaltz (chicken fat)
    sour-cream                       Sour cream
    vegan-butter                     Vegan butter
    whipping-cream                   Whipping cream

### Cruciferous vegetables  (11)
    broccoli                         Broccoli
    broccoli-rabe                    Broccoli rabe
    broccolini                       Broccolini
    brussels-sprouts                 Brussels sprouts
    cauliflower                      Cauliflower
    chinese-broccoli-gai-lan         Chinese broccoli (gai lan)
    choy-sum                         Choy sum
    daikon-radish                    Daikon radish
    kohlrabi                         Kohlrabi
    radish                           Radish
    yu-choy                          Yu choy

### Dressings & dips  (48)
    aioli                            Aioli
    ajvar                            Ajvar
    apple-cider-vinegar              Apple cider vinegar
    baba-ganoush                     Baba ganoush
    balsamic-vinaigrette             Balsamic vinaigrette
    balsamic-vinegar                 Balsamic vinegar
    vinegar-banyuls                  Banyuls vinegar
    blue-cheese-dressing             Blue cheese dressing
    caesar-dressing                  Caesar dressing
    vinegar-champagne                Champagne vinegar
    chimichurri                      Chimichurri
    chinese-black-vinegar            Chinese black vinegar
    vinegar-coconut                  Coconut vinegar
    dill-pickle-relish               Dill pickle relish
    vinegar-distilled-white          Distilled white vinegar
    french-dressing                  French dressing
    greek-dressing                   Greek dressing
    guacamole                        Guacamole
    vinaigrette-house                House vinaigrette
    hummus                           Hummus
    italian-dressing                 Italian dressing
    malt-vinegar                     Malt vinegar
    marmite                          Marmite
    mayonnaise                       Mayonnaise
    mojo-rojo                        Mojo rojo
    mojo-verde                       Mojo verde
    muhammara                        Muhammara
    pesto-basil                      Pesto (basil)
    pickled-ginger                   Pickled ginger
    pomegranate-molasses             Pomegranate molasses
    poppy-seed-dressing              Poppy seed dressing
    preserved-lemon                  Preserved lemon
    raita                            Raita
    ranch-dressing                   Ranch dressing
    red-wine-vinegar                 Red wine vinegar
    remoulade                        Remoulade
    rice-vinegar                     Rice vinegar
    romesco                          Romesco sauce
    russian-dressing                 Russian dressing
    sherry-vinegar                   Sherry vinegar
    relish-sweet                     Sweet pickle relish
    tarama                           Taramasalata
    tartar-sauce                     Tartar sauce
    thousand-island                  Thousand Island dressing
    tzatziki                         Tzatziki
    vegemite                         Vegemite
    white-wine-vinegar               White wine vinegar
    zhug                             Zhug (Yemenite green sauce)

### Dried fruits  (17)
    dried-banana                     Banana chip / dried banana
    barberries                       Barberries
    candied-citron                   Candied citron peel
    date-medjool                     Date (Medjool)
    dried-apricot                    Dried apricot
    dried-blueberry                  Dried blueberry
    dried-cherry                     Dried cherry
    dried-coconut                    Dried coconut (unsweetened)
    dried-cranberry                  Dried cranberry
    dried-fig                        Dried fig
    dried-mango                      Dried mango
    dried-pineapple                  Dried pineapple
    dried-rose-petals                Dried rose petals
    dried-strawberry                 Dried strawberry
    raisin-golden                    Golden raisin
    prune                            Prune
    raisin                           Raisin

### Dried herbs  (12)
    dried-basil                      Basil (dried)
    bay-leaf-dried                   Bay leaf (dried)
    dried-curry-leaves               Curry leaves (dried)
    dried-dill                       Dill (dried)
    kasoori-methi                    Kasoori methi (dried fenugreek leaves)
    dried-marjoram                   Marjoram (dried)
    mexican-oregano                  Mexican oregano
    dried-oregano                    Oregano (dried)
    dried-rosemary                   Rosemary (dried)
    dried-sage                       Sage (dried)
    dried-tarragon                   Tarragon (dried)
    dried-thyme                      Thyme (dried)

### Eggs  (6)
    egg-duck                         Duck egg
    egg-whole                        Egg (whole)
    egg-white                        Egg white
    egg-yolk                         Egg yolk
    egg-goose                        Goose egg
    egg-quail                        Quail egg

### Extracts & essences  (5)
    almond-extract                   Almond extract
    orange-blossom-water             Orange blossom water
    rose-water                       Rose water
    vanilla-bean                     Vanilla bean
    vanilla-extract                  Vanilla extract

### Fermented dairy  (10)
    ayran                            Ayran
    buttermilk                       Buttermilk
    clabber-cream                    Clabber cream / cultured cream
    doogh                            Doogh
    kashk                            Kashk
    kefir                            Kefir
    kefir-plain                      Kefir (plain)
    labneh                           Labneh
    lassi-sweet                      Lassi (sweet)
    skyr                             Skyr

### Flours  (18)
    all-purpose-flour                All-purpose flour
    almond-flour                     Almond flour
    arrowroot-starch                 Arrowroot starch
    atta-flour                       Atta flour
    bread-flour                      Bread flour
    buckwheat-flour                  Buckwheat flour
    cake-flour                       Cake flour
    coconut-flour                    Coconut flour
    cornmeal                         Cornmeal
    masa-harina                      Masa harina
    oat-flour                        Oat flour
    potato-starch                    Potato starch
    rice-flour                       Rice flour
    rye-flour                        Rye flour
    semolina                         Semolina
    spelt-flour                      Spelt flour
    tapioca-flour                    Tapioca flour
    whole-wheat-flour                Whole wheat flour

### Fresh cheese  (23)
    bocconcini                       Bocconcini
    burrata                          Burrata
    caciotta                         Caciotta
    chhena                           Chhena
    chevre                           Chèvre (fresh goat)
    cottage-cheese                   Cottage cheese
    cream-cheese                     Cream cheese
    farmers-cheese                   Farmer's cheese
    fresh-mozzarella                 Fresh mozzarella
    fromage-blanc                    Fromage blanc
    halloumi                         Halloumi
    khoya                            Khoya
    mascarpone                       Mascarpone
    mizithra                         Mizithra
    paneer                           Paneer
    quark                            Quark
    queso-oaxaca                     Queso Oaxaca
    queso-asadero                    Queso asadero
    queso-blanco                     Queso blanco
    queso-fresco                     Queso fresco
    queso-panela                     Queso panela
    requeson                         Requesón
    ricotta                          Ricotta

### Fresh herbs  (27)
    banana-leaf                      Banana leaf
    basil                            Basil
    chervil                          Chervil (fresh)
    chives                           Chives
    cilantro                         Cilantro
    curry-leaves                     Curry leaves (fresh)
    dill                             Dill
    epazote                          Epazote
    hoja-santa                       Hoja santa
    holy-basil                       Holy basil
    kaffir-lime-leaf                 Kaffir lime leaf
    lemon-balm                       Lemon balm
    lemongrass                       Lemongrass
    lovage                           Lovage
    mint                             Mint
    oregano-fresh                    Oregano (fresh)
    pandan-leaf                      Pandan leaf
    parsley                          Parsley
    perilla                          Perilla leaf (shiso)
    rosemary                         Rosemary
    sage                             Sage
    salad-burnet                     Salad burnet
    summer-savory                    Summer savory
    tarragon                         Tarragon
    thai-basil                       Thai basil
    thyme                            Thyme
    vietnamese-coriander             Vietnamese coriander (rau ram)

### Freshwater fish  (6)
    carp                             Carp
    catfish                          Catfish
    whitefish-lake                   Lake whitefish
    perch                            Perch
    pike                             Pike
    bass-striped                     Striped bass

### Frozen dairy  (11)
    frozen-custard                   Frozen custard
    frozen-yogurt                    Frozen yogurt (vanilla)
    gelato-vanilla                   Gelato (vanilla)
    ice-cream-chocolate              Ice cream (chocolate)
    ice-cream-cookies-cream          Ice cream (cookies & cream)
    ice-cream-mint-chip              Ice cream (mint chip)
    ice-cream-strawberry             Ice cream (strawberry)
    ice-cream-vanilla                Ice cream (vanilla)
    ice-cream-sandwich               Ice cream sandwich
    sherbet                          Sherbet (orange)
    sorbet                           Sorbet

### Ground spices  (28)
    aleppo-pepper                    Aleppo pepper
    amchur                           Amchur (mango powder)
    asafoetida                       Asafoetida (hing)
    black-pepper                     Black pepper
    cayenne                          Cayenne pepper
    chili-powder                     Chili powder
    chipotle-powder                  Chipotle powder
    cinnamon-ground                  Cinnamon (ground)
    garlic-powder                    Garlic powder
    ginger-ground                    Ginger (ground)
    gochugaru                        Gochugaru
    long-pepper                      Long pepper
    mahleb                           Mahleb
    mustard-powder                   Mustard powder
    nutmeg                           Nutmeg
    onion-powder                     Onion powder
    paprika-hot                      Paprika (hot)
    paprika-smoked                   Paprika (smoked)
    paprika                          Paprika (sweet)
    espelette                        Piment d'Espelette
    pink-peppercorn                  Pink peppercorn
    red-pepper-flakes                Red pepper flakes
    sansho                           Sansho pepper
    sichuan-peppercorn               Sichuan peppercorn
    sumac                            Sumac
    turmeric-ground                  Turmeric (ground)
    urfa-biber                       Urfa biber
    white-pepper                     White pepper

### Jams & preserves  (14)
    almond-butter-sweetened          Almond butter (sweetened)
    apple-butter                     Apple butter
    preserves-apricot                Apricot preserves
    jam-blueberry                    Blueberry jam
    nutella                          Chocolate-hazelnut spread (Nutella-style)
    biscoff-spread                   Cookie butter (Biscoff-style)
    fruit-chutney                    Fruit chutney (Indian-style)
    jelly-grape                      Grape jelly
    jam-strawberry                   Jam (strawberry)
    lemon-curd                       Lemon curd
    preserves-mixed-berry            Mixed berry preserves
    marmalade-orange                 Orange marmalade
    pumpkin-butter                   Pumpkin butter
    jam-raspberry                    Raspberry jam

### Juices  (12)
    apple-juice                      Apple juice
    cranberry-juice                  Cranberry juice (cocktail)
    fruit-nectar                     Fruit nectar
    grape-juice                      Grape juice
    grapefruit-juice                 Grapefruit juice
    lemonade                         Lemonade
    orange-juice                     Orange juice
    pineapple-juice                  Pineapple juice
    pomegranate-juice                Pomegranate juice
    prune-juice                      Prune juice
    tomato-juice                     Tomato juice
    vegetable-juice                  Vegetable juice (V8-style)

### Leafy greens  (31)
    amaranth-leaves                  Amaranth leaves
    arugula                          Arugula
    bok-choy                         Bok choy
    butter-lettuce                   Butter lettuce
    callaloo                         Callaloo
    collard-greens                   Collard greens
    dandelion-greens                 Dandelion greens
    endive                           Endive
    escarole                         Escarole
    fiddlehead                       Fiddlehead
    cabbage-green                    Green cabbage
    iceberg-lettuce                  Iceberg lettuce
    jute-leaves-molokhia             Jute leaves (molokhia)
    kale                             Kale
    mizuna                           Mizuna
    moringa-leaves                   Moringa leaves
    mustard-greens                   Mustard greens
    napa-cabbage                     Napa cabbage
    nettle                           Nettle
    pea-shoots                       Pea shoots
    purslane                         Purslane
    radicchio                        Radicchio
    ramps                            Ramps
    cabbage-red                      Red cabbage
    romaine-lettuce                  Romaine lettuce
    sorrel                           Sorrel
    spinach                          Spinach
    swiss-chard                      Swiss chard
    taro-leaves                      Taro leaves
    water-spinach                    Water spinach (ong choy / kangkong)
    watercress                       Watercress

### Legumes  (28)
    adzuki-beans                     Adzuki beans
    anko-red-bean-paste              Anko (red bean paste)
    black-beans                      Black beans
    black-eyed-peas                  Black-eyed peas
    lentils-brown                    Brown lentils
    cannellini-beans                 Cannellini beans
    chana-dal                        Chana dal
    chickpea                         Chickpea
    chickpea-flour-besan             Chickpea flour (besan)
    chickpeas-canned                 Chickpeas (canned)
    fava-beans                       Fava beans
    great-northern-beans             Great northern beans
    kidney-bean                      Kidney bean
    lentils-green                    Lentils (green)
    lentils-red                      Lentils (red)
    lima-beans                       Lima beans
    lupini-bean                      Lupini bean
    masoor-dal                       Masoor dal
    moong-dal                        Moong dal
    mung-beans                       Mung beans
    peanut                           Peanut
    pigeon-peas                      Pigeon peas
    pinto-bean                       Pinto bean
    split-peas                       Split peas
    toor-dal                         Toor dal
    urad-dal                         Urad dal
    white-bean                       White bean (navy)
    white-bean-paste                 White bean paste (shiroan)

### Margarine & shortening  (9)
    bacon-fat                        Bacon fat (rendered)
    beef-suet                        Beef suet
    goose-fat                        Goose fat
    lard                             Lard
    margarine-light                  Margarine (light)
    margarine-stick                  Margarine (stick)
    margarine-tub                    Margarine (tub)
    margarine-with-butter            Margarine + butter blend
    shortening                       Shortening

### Meat alternatives  (5)
    beyond-meat-burger               Beyond Meat-style plant burger
    impossible-burger                Impossible-style plant burger
    nutritional-yeast                Nutritional yeast
    seitan                           Seitan
    vital-wheat-gluten               Vital wheat gluten

### Milk  (13)
    chocolate-milk                   Chocolate milk
    evaporated-milk                  Evaporated milk
    goat-milk                        Goat milk
    malted-milk-powder               Malted milk powder
    milk-1-percent                   Milk (1%)
    milk-2-percent                   Milk (2%)
    milk-powder-nonfat               Milk powder (nonfat, dry)
    milk-powder                      Milk powder (whole, dry)
    sheep-milk                       Sheep milk
    skim-milk                        Skim milk
    strawberry-milk                  Strawberry milk
    condensed-milk-sweetened         Sweetened condensed milk
    whole-milk                       Whole milk

### Mushrooms  (15)
    mushroom-chanterelle             Chanterelle mushroom
    mushroom-cremini                 Cremini mushroom
    mushroom-enoki                   Enoki mushroom
    king-trumpet-mushroom            King trumpet mushroom
    lions-mane-mushroom              Lion's mane mushroom
    maitake-mushroom                 Maitake mushroom
    mushroom-morel                   Morel mushroom
    nameko-mushroom                  Nameko mushroom
    mushroom-oyster                  Oyster mushroom
    mushroom-porcini                 Porcini mushroom
    mushroom-portobello              Portobello mushroom
    mushroom-shiitake                Shiitake mushroom
    mushroom-truffle                 Truffle
    mushroom-white                   White mushroom
    mushroom-wood-ear                Wood ear mushroom

### Nut butters  (9)
    almond-butter                    Almond butter
    almond-paste                     Almond paste
    cashew-butter                    Cashew butter
    gianduja                         Gianduja (chocolate-hazelnut paste)
    hazelnut-paste                   Hazelnut paste (pure)
    peanut-butter                    Peanut butter
    pistachio-paste                  Pistachio paste
    sunflower-seed-butter            Sunflower seed butter
    tahini                           Tahini

### Nuts  (19)
    almond                           Almond
    brazil-nut                       Brazil nut
    cacao-nibs                       Cacao nibs
    cashew                           Cashew
    chestnut                         Chestnut
    chestnut-puree-sweetened         Chestnut purée (sweetened)
    coconut-shredded                 Coconut (shredded, dried)
    coconut-cream                    Coconut cream
    ginkgo-nut                       Ginkgo nut
    hazelnut                         Hazelnut
    macadamia                        Macadamia nut
    marcona-almond                   Marcona almond
    pecan                            Pecan
    pili-nut                         Pili nut
    pine-nut                         Pine nut
    pistachio                        Pistachio
    tigernut                         Tigernut (chufa)
    walnut                           Walnut
    coconut-young                    Young coconut flesh

### Oils  (35)
    almond-oil                       Almond oil
    argan-oil                        Argan oil
    avocado-oil                      Avocado oil
    basil-infused-oil                Basil-infused oil
    canola-oil                       Canola oil
    chia-seed-oil                    Chia seed oil
    chili-oil                        Chili oil
    coconut-oil                      Coconut oil
    corn-oil                         Corn oil
    cottonseed-oil                   Cottonseed oil
    flaxseed-oil                     Flaxseed oil
    garlic-infused-oil               Garlic-infused oil
    grapeseed-oil                    Grapeseed oil
    hazelnut-oil                     Hazelnut oil
    hempseed-oil                     Hempseed oil
    lemon-infused-oil                Lemon-infused oil
    mct-oil                          MCT oil
    macadamia-oil                    Macadamia oil
    mustard-oil                      Mustard oil
    olive-oil                        Olive oil
    palm-oil                         Palm oil
    peanut-oil                       Peanut oil
    pistachio-oil                    Pistachio oil
    pumpkin-seed-oil                 Pumpkin seed oil
    rice-bran-oil                    Rice bran oil
    rosemary-infused-oil             Rosemary-infused oil
    safflower-oil                    Safflower oil
    sesame-oil                       Sesame oil
    sesame-oil-toasted               Sesame oil (toasted)
    soybean-oil                      Soybean oil
    sunflower-oil                    Sunflower oil
    truffle-oil                      Truffle oil
    vegetable-oil-blend              Vegetable oil (generic blend)
    walnut-oil                       Walnut oil
    wheat-germ-oil                   Wheat germ oil

### Oily fish  (15)
    ahi-tuna                         Ahi tuna (yellowfin)
    anchovies                        Anchovies
    arctic-char                      Arctic char
    herring                          Herring
    mackerel                         Mackerel
    marlin                           Marlin
    salmon                           Salmon
    sardines                         Sardines
    swordfish                        Swordfish
    trout                            Trout
    tuna-bluefin                     Tuna (bluefin)
    tuna-skipjack                    Tuna (skipjack)
    tuna                             Tuna (yellowfin)
    whitebait                        Whitebait
    yellowtail-hamachi               Yellowtail (hamachi)

### Organ meats  (14)
    beef-heart                       Beef heart
    beef-kidney                      Beef kidney
    beef-liver                       Beef liver
    beef-tongue                      Beef tongue
    bone-marrow                      Bone marrow
    brain-calf                       Brain (calf)
    chicken-heart                    Chicken heart
    chicken-liver                    Chicken liver
    foie-gras                        Foie gras
    gelatin                          Gelatin
    lamb-kidney                      Lamb kidney
    pork-liver                       Pork liver
    sweetbreads                      Sweetbreads
    tripe                            Tripe

### Other vegetables  (39)
    artichoke                        Artichoke
    asparagus                        Asparagus
    bamboo-shoots                    Bamboo shoots
    bean-sprouts                     Bean sprouts
    bitter-melon                     Bitter melon
    bottle-gourd                     Bottle gourd
    celeriac                         Celeriac
    celery                           Celery
    chayote                          Chayote
    cucumber                         Cucumber
    fennel-bulb                      Fennel bulb
    galangal                         Galangal
    garlic                           Garlic
    gim                              Gim (Korean nori)
    ginger-fresh                     Ginger (fresh)
    green-beans                      Green beans
    hijiki                           Hijiki
    horseradish-fresh                Horseradish (fresh)
    jicama                           Jicama
    kimchi                           Kimchi
    kombu                            Kombu
    leek                             Leek
    lotus-root                       Lotus root
    nopales                          Nopales (cactus)
    nori                             Nori
    okra                             Okra
    onion                            Onion
    onion-red                        Red onion
    ridge-gourd                      Ridge gourd
    sauerkraut                       Sauerkraut
    scallion                         Scallion
    shallot                          Shallot
    snap-peas                        Snap peas
    snow-peas                        Snow peas
    turmeric-fresh                   Turmeric (fresh)
    wakame                           Wakame
    water-chestnut                   Water chestnut
    yellow-squash                    Yellow squash
    zucchini                         Zucchini

### Pastes & ferments  (38)
    aji-amarillo-paste               Ají amarillo paste
    aji-panca-paste                  Ají panca paste
    char-siu-sauce                   Char siu sauce
    chili-crisp                      Chili crisp
    chutney-mango                    Chutney (mango)
    chutney-mint                     Chutney (mint-cilantro)
    chutney-tamarind                 Chutney (tamarind)
    green-curry-paste                Curry paste (green, Thai)
    massaman-paste                   Curry paste (massaman, Thai)
    curry-paste-red                  Curry paste (red, Thai)
    yellow-curry-paste               Curry paste (yellow, Thai)
    dashi                            Dashi
    doenjang                         Doenjang
    doubanjiang                      Doubanjiang
    black-bean-sauce-douchi          Fermented black bean (douchi)
    furikake                         Furikake
    gochujang                        Gochujang
    harissa                          Harissa
    iru                              Iru (fermented locust bean)
    madras-paste                     Madras paste
    mirin                            Mirin
    miso-white                       Miso (white)
    mole-paste                       Mole paste
    nam-prik-pao                     Nam prik pao
    nuoc-cham                        Nuoc cham
    okonomiyaki-sauce                Okonomiyaki sauce
    ponzu                            Ponzu
    recado-rojo                      Recado rojo (achiote paste)
    sake-cooking                     Sake (cooking)
    salsa-criolla                    Salsa criolla
    sambal-oelek                     Sambal oelek
    shaoxing-wine                    Shaoxing wine
    shrimp-paste                     Shrimp paste (belacan/kapi)
    ssamjang                         Ssamjang
    tonkatsu-sauce                   Tonkatsu sauce
    vindaloo-paste                   Vindaloo paste
    xo-sauce                         XO sauce
    yuzukosho                        Yuzu kosho

### Peppers & nightshades  (25)
    anaheim-pepper                   Anaheim pepper
    beefsteak-tomato                 Beefsteak tomato
    tomato-cherry                    Cherry tomato
    cubanelle                        Cubanelle pepper
    eggplant                         Eggplant
    grape-tomato                     Grape tomato
    bell-pepper-green                Green bell pepper
    habanero                         Habanero
    hatch-chile                      Hatch chile
    heirloom-tomato                  Heirloom tomato
    jalapeno                         Jalapeño
    padron-pepper                    Padrón pepper
    poblano                          Poblano
    bell-pepper-red                  Red bell pepper
    tomato-roma                      Roma tomato
    scotch-bonnet                    Scotch bonnet
    serrano-pepper                   Serrano pepper
    shishito-pepper                  Shishito pepper
    sun-dried-tomato                 Sun-dried tomato
    thai-chili                       Thai chili (bird's eye)
    tomatillo                        Tomatillo
    tomato                           Tomato
    tomato-canned-whole              Tomato (canned, whole)
    tomato-paste                     Tomato paste
    tomato-sauce-canned              Tomato sauce (canned)

### Pickled vegetables  (14)
    pickle-bread-and-butter          Bread-and-butter pickle
    capers                           Capers
    olive-castelvetrano              Castelvetrano olive
    cornichon                        Cornichon
    kalamata-olive                   Kalamata olive
    olives-black                     Olives (black)
    olives-green                     Olives (green)
    pepperoncini                     Pepperoncini (pickled)
    pickle-dill                      Pickle (dill)
    pickled-beet                     Pickled beet
    pickled-jalapeno                 Pickled jalapeño
    pickled-okra                     Pickled okra
