canonical_name,proposed_category,proposed_subcategory,proposed_food_group,proposed_form,proposed_contains_tags,flags,source_count,variants_count,confidence
grenadine syrup,Alcoholic beverages,Cocktail mixers,Beverages,,,,1,1,low
gin,Alcoholic beverages,Gin,Beverages,,,,2,2,high
fluid gin,Alcoholic beverages,Gin,Beverages,,,,1,1,low
fluid ounces gin,Alcoholic beverages,Gin,Beverages,,,,1,1,low
sloe gin,Alcoholic beverages,Gin,Beverages,,,,1,1,low
absinthe,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
amaretto,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
anisette,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
anisette liqueur,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
applejack,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
black sambuca,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
blue curacao,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
butterscotch schnapps,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
cachaca,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
campari,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
caravella limoncello,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
creme de cacao,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
creme de cassis,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
curacao,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
curacao liqueur,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
drambuie,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
fluid kahlua,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
framboise,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
framboise eau-,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
framboise liqueur,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
frangelico,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
frangelico liqueur,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
galliano,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
galliano liqueur,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
grand marnier,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
grappa,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
green chartreuse,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
green creme,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
kahlua,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
kahlua coffee,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
kahlua liqueur,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
kahlua liquor,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
kirsch,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
lillet,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
lillet blanc,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
limoncello,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
limoncello liqueur,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
liqueur grand marnier,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
ouzo,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
pernod,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
pisco,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
sambuca,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
sambuca romana,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
schnapps,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
southern comfort,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
tablespoons kirsch,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
tia maria,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
triple sec,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
triple sec liqueur,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
vanilla schnapps,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
white creme,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
yellow chartreuse,Alcoholic beverages,Liqueurs,Beverages,,,,1,1,low
rum,Alcoholic beverages,Rum,Beverages,,,,4,4,high
aged rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
amber rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
anejo rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
bacardi rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
black rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
clear rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
dark rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
drops rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
fluid ounces rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
fluid ounces white rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
fluid white rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
gold rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
golden rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
imitation rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
jiggers rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
light rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
malibu rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
overproof rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
rum dark,Alcoholic beverages,Rum,Beverages,,,,1,1,low
rum flavor,Alcoholic beverages,Rum,Beverages,,,,1,1,low
rum flavored,Alcoholic beverages,Rum,Beverages,,,,1,1,low
rum optional,Alcoholic beverages,Rum,Beverages,,,,1,1,low
silver rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
spiced rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
vanilla rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
white rum,Alcoholic beverages,Rum,Beverages,,,,1,1,low
tequila,Alcoholic beverages,Tequila,Beverages,,,,4,4,high
a ejo tequila,Alcoholic beverages,Tequila,Beverages,,,,1,1,low
anejo tequila,Alcoholic beverages,Tequila,Beverages,,,,1,1,low
blanco tequila,Alcoholic beverages,Tequila,Beverages,,,,1,1,low
fluid tequila,Alcoholic beverages,Tequila,Beverages,,,,1,1,low
gold tequila,Alcoholic beverages,Tequila,Beverages,,,,1,1,low
golden tequila,Alcoholic beverages,Tequila,Beverages,,,,1,1,low
jiggers tequila,Alcoholic beverages,Tequila,Beverages,,,,1,1,low
mezcal,Alcoholic beverages,Tequila,Beverages,,,,1,1,low
reposado tequila,Alcoholic beverages,Tequila,Beverages,,,,1,1,low
silver tequila,Alcoholic beverages,Tequila,Beverages,,,,1,1,low
tequila blanco,Alcoholic beverages,Tequila,Beverages,,,,1,1,low
white tequila,Alcoholic beverages,Tequila,Beverages,,,,1,1,low
absolut vodka,Alcoholic beverages,Vodka,Beverages,,,,1,1,low
berry-flavored vodka,Alcoholic beverages,Vodka,Beverages,,,,1,1,low
black vodka,Alcoholic beverages,Vodka,Beverages,,,,1,1,low
citron vodka,Alcoholic beverages,Vodka,Beverages,,,,1,1,low
cold vodka,Alcoholic beverages,Vodka,Beverages,,,,1,1,low
fluid ounces vanilla-flavored vodka,Alcoholic beverages,Vodka,Beverages,,,,1,1,low
fluid ounces vodka,Alcoholic beverages,Vodka,Beverages,,,,1,1,low
fluid vanilla vodka,Alcoholic beverages,Vodka,Beverages,,,,1,1,low
fluid vodka,Alcoholic beverages,Vodka,Beverages,,,,1,1,low
jiggers vodka,Alcoholic beverages,Vodka,Beverages,,,,1,1,low
liters vodka,Alcoholic beverages,Vodka,Beverages,,,,1,1,low
oval vodka,Alcoholic beverages,Vodka,Beverages,,,,1,1,low
smirnoff vodka,Alcoholic beverages,Vodka,Beverages,,,,1,1,low
unflavored vodka,Alcoholic beverages,Vodka,Beverages,,,,1,1,low
vanilla flavored vodka,Alcoholic beverages,Vodka,Beverages,,,,1,1,low
vanilla vodka,Alcoholic beverages,Vodka,Beverages,,,,1,1,low
vanilla-flavored vodka,Alcoholic beverages,Vodka,Beverages,,,,1,1,low
bourbon,Alcoholic beverages,Whisky,Beverages,,,,5,5,high
whiskey,Alcoholic beverages,Whisky,Beverages,,,,4,4,high
blended whiskey,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
bonded rye whiskey,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
bourbon vanilla,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
bourbon whiskey,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
bourbon whisky,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
canadian rye whisky,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
canadian whiskey,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
crown royal,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
daniels,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
fluid bourbon,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
fluid ounces rye whiskey,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
fluid ounces whiskey,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
fluid whiskey,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
glass whiskey,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
irish whiskey,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
irish whisky,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
jiggers bourbon,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
jiggers whiskey,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
kentucky bourbon,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
rye whiskey,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
scotch,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
scotch bonnet,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
scotch bonnets,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
scotch whiskey,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
scotch whisky,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
tennessee whiskey,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
whisky,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
white whiskey,Alcoholic beverages,Whisky,Beverages,,,,1,1,low
champagne,Alcoholic beverages,Wine,Beverages,,,,3,3,high
dry red wine,Alcoholic beverages,Wine,Beverages,,,,2,2,high
dry white wine,Alcoholic beverages,Wine,Beverages,,,,2,2,high
prosecco,Alcoholic beverages,Wine,Beverages,,,,2,2,high
sweet white wine,Alcoholic beverages,Wine,Beverages,,,,2,2,high
amontillado sherry,Alcoholic beverages,Wine,Beverages,,,,1,1,low
amontillado sherry wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
brut champagne,Alcoholic beverages,Wine,Beverages,,,,1,1,low
burgundy,Alcoholic beverages,Wine,Beverages,,,,1,1,low
burgundy wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
cabernet,Alcoholic beverages,Wine,Beverages,,,,1,1,low
cabernet sauvignon,Alcoholic beverages,Wine,Beverages,,,,1,1,low
cabernet sauvignon wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
cabernet wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
chablis,Alcoholic beverages,Wine,Beverages,,,,1,1,low
chablis wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
champagne vinegar,Alcoholic beverages,Wine,Beverages,,,,1,1,low
chardonnay,Alcoholic beverages,Wine,Beverages,,,,1,1,low
chardonnay wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
cheap red wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
chianti,Alcoholic beverages,Wine,Beverages,,,,1,1,low
chianti wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
chinese cooking wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
cocktail sherry,Alcoholic beverages,Wine,Beverages,,,,1,1,low
cold champagne,Alcoholic beverages,Wine,Beverages,,,,1,1,low
cooking sherry,Alcoholic beverages,Wine,Beverages,,,,1,1,low
cooking sherry wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
cooking white wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
cooking wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
dessert wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
dry riesling,Alcoholic beverages,Wine,Beverages,,,,1,1,low
dry sherry,Alcoholic beverages,Wine,Beverages,,,,1,1,low
fino sherry,Alcoholic beverages,Wine,Beverages,,,,1,1,low
fluid ounces champagne,Alcoholic beverages,Wine,Beverages,,,,1,1,low
fluid ounces white wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
fruity red wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
fruity white wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
full bodied red wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
full-bodied dry red wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
full-bodied red wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
garam marsala,Alcoholic beverages,Wine,Beverages,,,,1,1,low
glass of red wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
glass of white wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
glass red wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
glass white wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
hearty red wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
italian red wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
late-harvest riesling,Alcoholic beverages,Wine,Beverages,,,,1,1,low
light red wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
liters red wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
madeira,Alcoholic beverages,Wine,Beverages,,,,1,1,low
madeira wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
manzanilla sherry,Alcoholic beverages,Wine,Beverages,,,,1,1,low
marsala,Alcoholic beverages,Wine,Beverages,,,,1,1,low
marsala cooking wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
merlot,Alcoholic beverages,Wine,Beverages,,,,1,1,low
merlot wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
oloroso sherry,Alcoholic beverages,Wine,Beverages,,,,1,1,low
pale dry sherry,Alcoholic beverages,Wine,Beverages,,,,1,1,low
pink champagne,Alcoholic beverages,Wine,Beverages,,,,1,1,low
port,Alcoholic beverages,Wine,Beverages,,,,1,1,low
port wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
red burgundy,Alcoholic beverages,Wine,Beverages,,,,1,1,low
red burgundy wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
red cooking wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
red dry wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
red port wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
red wine vinager,Alcoholic beverages,Wine,Beverages,,,,1,1,low
red wine vinaigrette,Alcoholic beverages,Wine,Beverages,,,,1,1,low
red wine vineger,Alcoholic beverages,Wine,Beverages,,,,1,1,low
red zinfandel,Alcoholic beverages,Wine,Beverages,,,,1,1,low
red zinfandel wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
riesling,Alcoholic beverages,Wine,Beverages,,,,1,1,low
riesling wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
robust red wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
rose wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
ruby port,Alcoholic beverages,Wine,Beverages,,,,1,1,low
sauvignon,Alcoholic beverages,Wine,Beverages,,,,1,1,low
sauvignon blanc,Alcoholic beverages,Wine,Beverages,,,,1,1,low
sauvignon blanc wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
sauvignon wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
sercial madeira,Alcoholic beverages,Wine,Beverages,,,,1,1,low
sherry,Alcoholic beverages,Wine,Beverages,,,,1,1,low
sherry cooking wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
sherry dry,Alcoholic beverages,Wine,Beverages,,,,1,1,low
sherry optional,Alcoholic beverages,Wine,Beverages,,,,1,1,low
sherry vinaigrette,Alcoholic beverages,Wine,Beverages,,,,1,1,low
sherry wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
shiraz,Alcoholic beverages,Wine,Beverages,,,,1,1,low
shiraz wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
spanish sherry,Alcoholic beverages,Wine,Beverages,,,,1,1,low
sparkling white wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
sparkling wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
sweet dessert wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
sweet marsala,Alcoholic beverages,Wine,Beverages,,,,1,1,low
sweet marsala wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
sweet red wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
sweet sherry,Alcoholic beverages,Wine,Beverages,,,,1,1,low
sweet vermouth,Alcoholic beverages,Wine,Beverages,,,,1,1,low
tawny port,Alcoholic beverages,Wine,Beverages,,,,1,1,low
tawny port wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
vermouth,Alcoholic beverages,Wine,Beverages,,,,1,1,low
vermouth dry,Alcoholic beverages,Wine,Beverages,,,,1,1,low
white cooking wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
white dinner wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
white dry wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
white port,Alcoholic beverages,Wine,Beverages,,,,1,1,low
white port wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
white table wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
white vermouth,Alcoholic beverages,Wine,Beverages,,,,1,1,low
white wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
white wine chablis,Alcoholic beverages,Wine,Beverages,,,,1,1,low
white wine vinaigrette,Alcoholic beverages,Wine,Beverages,,,,1,1,low
white wine worcestershire,Alcoholic beverages,Wine,Beverages,,,,1,1,low
white zinfandel,Alcoholic beverages,Wine,Beverages,,,,1,1,low
white zinfandel wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
wine red,Alcoholic beverages,Wine,Beverages,,,,1,1,low
wine white,Alcoholic beverages,Wine,Beverages,,,,1,1,low
wish-bone red wine vinaigrette dressing,Alcoholic beverages,Wine,Beverages,,,,1,1,low
zinfandel,Alcoholic beverages,Wine,Beverages,,,,1,1,low
zinfandel wine,Alcoholic beverages,Wine,Beverages,,,,1,1,low
brewed coffee,Coffee & tea,Coffee,Beverages,,,,2,2,high
coffee crystals,Coffee & tea,Coffee,Beverages,,,,2,2,high
espresso,Coffee & tea,Coffee,Beverages,,,,6,6,high
espresso,Coffee & tea,Coffee,Beverages,powdered,,,2,2,high
espresso coffee,Coffee & tea,Coffee,Beverages,,,,2,2,high
black coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
boiling coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
brewed espresso,Coffee & tea,Coffee,Beverages,,,,1,1,low
brewed hot coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
brewed strong coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
chicory coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
coffee black,Coffee & tea,Coffee,Beverages,,,,1,1,low
coffee cold,Coffee & tea,Coffee,Beverages,,,,1,1,low
coffee concentrate,Coffee & tea,Coffee,Beverages,,,,1,1,low
coffee creamer,Coffee & tea,Coffee,Beverages,,,,1,1,low
coffee creamer,Coffee & tea,Coffee,Beverages,powdered,,,1,1,low
coffee filter,Coffee & tea,Coffee,Beverages,,,,1,1,low
coffee granules,Coffee & tea,Coffee,Beverages,,,,1,1,low
coffee grounds,Coffee & tea,Coffee,Beverages,,,,1,1,low
coffee liqueur,Coffee & tea,Coffee,Beverages,,,,1,1,low
coffee liquor,Coffee & tea,Coffee,Beverages,,,,1,1,low
coffee mate,Coffee & tea,Coffee,Beverages,,,,1,1,low
coffee powder,Coffee & tea,Coffee,Beverages,,,,1,1,low
coffee syrup,Coffee & tea,Coffee,Beverages,,,,1,1,low
cold black coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
cold brewed coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
cold coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
cold espresso,Coffee & tea,Coffee,Beverages,,,,1,1,low
cold strong coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
cooled coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
cooled espresso,Coffee & tea,Coffee,Beverages,,,,1,1,low
dark roast coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
electric coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
espresso coffee powder,Coffee & tea,Coffee,Beverages,,,,1,1,low
espresso granules,Coffee & tea,Coffee,Beverages,,,,1,1,low
espresso powder,Coffee & tea,Coffee,Beverages,,,,1,1,low
fluid espresso,Coffee & tea,Coffee,Beverages,,,,1,1,low
fluid ounces coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
french vanilla non-dairy coffee creamer,Coffee & tea,Coffee,Beverages,,,,1,1,low
grind coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
hot black coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
hot coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
hot espresso,Coffee & tea,Coffee,Beverages,,,,1,1,low
international coffees,Coffee & tea,Coffee,Beverages,,,,1,1,low
liqueur coffee flavor,Coffee & tea,Coffee,Beverages,,,,1,1,low
liquid coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
maxwell house coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
non-dairy coffee creamer,Coffee & tea,Coffee,Beverages,,,,1,1,low
non-dairy powdered coffee creamer,Coffee & tea,Coffee,Beverages,,,,1,1,low
nondairy coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
nondairy coffee creamer,Coffee & tea,Coffee,Beverages,powdered,,,1,1,low
soy coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
strong black coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
strong coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
turkish coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
vanilla coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
warm coffee,Coffee & tea,Coffee,Beverages,,,,1,1,low
green tea,Coffee & tea,Tea,Beverages,,,,2,2,high
tea bags,Coffee & tea,Tea,Beverages,,,,2,2,high
black tea,Coffee & tea,Tea,Beverages,,,,1,1,low
black tea bags,Coffee & tea,Tea,Beverages,,,,1,1,low
black tea leaf,Coffee & tea,Tea,Beverages,,,,1,1,low
brewed tea,Coffee & tea,Tea,Beverages,,,,1,1,low
camomile tea,Coffee & tea,Tea,Beverages,,,,1,1,low
chai,Coffee & tea,Tea,Beverages,,,,1,1,low
chai tea,Coffee & tea,Tea,Beverages,,,,1,1,low
chamomile tea,Coffee & tea,Tea,Beverages,,,,1,1,low
cold tea,Coffee & tea,Tea,Beverages,,,,1,1,low
darjeeling tea,Coffee & tea,Tea,Beverages,,,,1,1,low
earl grey tea,Coffee & tea,Tea,Beverages,,,,1,1,low
family sized tea bags,Coffee & tea,Tea,Beverages,,,,1,1,low
green tea,Coffee & tea,Tea,Beverages,powdered,,,1,1,low
green tea bags,Coffee & tea,Tea,Beverages,,,,1,1,low
